Indicator Category,Indicator Name,School / District,School / District Level,School / District Type,Region,Entity ID,Entity Name,Category,2024,2023,2022
Achievement,Proficiency - ELA (%),District,District,District,North Country,437,Pittsburg,Achievement,38.00%,40.00%,33.00%
Achievement,Proficiency - ELA (%),District,District,District,North Country,450,Profile,Achievement,71.00%,65.00%,60.00%
Achievement,Proficiency - ELA (%),District,District,District,North Country,499,Stark,Achievement,79.00%,63.00%,71.00%
Achievement,Proficiency - ELA (%),District,District,District,North Country,501,Stewartstown,Achievement,33.00%,37.00%,38.00%
Achievement,Proficiency - ELA (%),District,District,District,North Country,509,Stratford,Achievement,28.00%,26.00%,28.00%
Achievement,Proficiency - ELA (%),District,District,District,North Country,549,Warren,Achievement,60.00%,49.00%,39.00%
Achievement,Proficiency - ELA (%),District,District,District,North Country,568,White Mountains Regional,Achievement,38.00%,40.00%,39.00%
Achievement,Proficiency - ELA (%),District,District,District,North Country,703,North Country Charter Academy,Achievement,*N,*N,*N
Achievement,Proficiency - ELA (%),District,District,District,North Country,716,Northeast Woodland Chartered Public School,Achievement,37.00%,35.00%,45.00%
Achievement,Proficiency - ELA (%),District,District,District,North Country,718,Heartwood Public Charter School,Achievement,68.00%,55.00%,
Achievement,Proficiency - ELA (%),District,District,District,North Country,737,Robert Frost Charter School,Achievement,64.00%,*N,80.00%
Achievement,Proficiency - ELA (%),District,District,District,South Central,9,Allenstown,Achievement,44.00%,45.00%,46.00%
Achievement,Proficiency - ELA (%),District,District,District,South Central,17,Amherst,Achievement,66.00%,65.00%,58.00%
Achievement,Proficiency - ELA (%),District,District,District,South Central,29,Auburn,Achievement,63.00%,63.00%,59.00%
Achievement,Proficiency - ELA (%),District,District,District,South Central,41,Bedford,Achievement,76.00%,79.00%,77.00%
Achievement,Proficiency - ELA (%),District,District,District,South Central,79,Candia,Achievement,55.00%,62.00%,63.00%
Achievement,Proficiency - ELA (%),District,District,District,South Central,99,Chichester,Achievement,56.00%,50.00%,53.00%
Achievement,Proficiency - ELA (%),District,District,District,South Central,127,Deerfield,Achievement,62.00%,57.00%,54.00%
Achievement,Proficiency - ELA (%),District,District,District,South Central,131,Derry Cooperative,Achievement,47.00%,45.00%,48.00%
Achievement,Proficiency - ELA (%),District,District,District,South Central,167,Epsom,Achievement,44.00%,56.00%,63.00%
Achievement,Proficiency - ELA (%),District,District,District,South Central,199,Goffstown,Achievement,57.00%,58.00%,59.00%
Achievement,Proficiency - ELA (%),District,District,District,South Central,223,Hampstead,Achievement,59.00%,64.00%,63.00%
Achievement,Proficiency - ELA (%),District,District,District,South Central,261,Hooksett,Achievement,65.00%,65.00%,62.00%
Achievement,Proficiency - ELA (%),District,District,District,South Central,267,Hudson,Achievement,54.00%,56.00%,55.00%
Achievement,Proficiency - ELA (%),District,District,District,South Central,315,Litchfield,Achievement,57.00%,55.00%,52.00%
Achievement,Proficiency - ELA (%),District,District,District,South Central,319,Londonderry,Achievement,56.00%,57.00%,56.00%
Achievement,Proficiency - ELA (%),District,District,District,South Central,335,Manchester,Achievement,29.00%,28.00%,28.00%
Achievement,Proficiency - ELA (%),District,District,District,South Central,351,Merrimack,Achievement,59.00%,54.00%,52.00%
Achievement,Proficiency - ELA (%),District,District,District,South Central,367,Mont Vernon,Achievement,77.00%,75.00%,75.00%
Achievement,Proficiency - ELA (%),District,District,District,South Central,371,Nashua,Achievement,44.00%,42.00%,41.00%
Achievement,Proficiency - ELA (%),District,District,District,South Central,377,New Boston,Achievement,75.00%,74.00%,70.00%
Achievement,Proficiency - ELA (%),District,District,District,South Central,425,Pelham,Achievement,50.00%,53.00%,49.00%
Achievement,Proficiency - ELA (%),District,District,District,South Central,427,Pembroke,Achievement,52.00%,55.00%,47.00%
Achievement,Proficiency - ELA (%),District,District,District,South Central,453,Raymond,Achievement,56.00%,53.00%,49.00%
Achievement,Proficiency - ELA (%),District,District,District,South Central,473,Salem,Achievement,56.00%,55.00%,54.00%
Achievement,Proficiency - ELA (%),District,District,District,South Central,493,Souhegan Cooperative,Achievement,75.00%,80.00%,68.00%
