"district_code","district","grades_served","district_type","urbanicity","num_schools","num_high_schools","enrollment_2025","enrollment_change_6yr_pct","n_aian","pct_aian","n_aapi","pct_aapi","n_hispanic","pct_hispanic","n_black","pct_black","n_white","pct_white","n_multiracial","pct_multiracial","total","pct_lowinc","n_el","pct_el","pct_sped","n_ela_prof__9_12","pct_ela_prof__9_12","n_math_prof__9_12","pct_math_prof__9_12","n_ela_prof__3_8","pct_ela_prof__3_8","n_math_prof__3_8","pct_math_prof__3_8","pct_grad","pct_reg_attend","per_pupil_spending","pct_csi_tsi","pct_lang_eo","pct_lang_spanish","pct_lang_indo","pct_lang_aapi","pct_lang_other","pct_fte_cert"
432,"Kreiva Academy Public Charter School","7-12","Charter","Urban",2,1,117,0.29,0,0,2,0.02,31,0.26,5,0.04,63,0.54,16,0.14,"117",0.72,0,0,0.29,5,NA,5,NA,NA,NA,22,NA,0.33,0.93,17930,0.5,NA,NA,NA,NA,NA,NA
404,"Great Bay Charter School","K-12","Charter","Rural",2,1,153,0.08,0,0,1,0.01,6,0.04,1,0.01,136,0.89,9,0.06,"153",0.25,0,0,0.36,28,0.52,28,0.05,57,NA,50,NA,0.84,0.95,14258,0,NA,NA,NA,NA,NA,NA
434,"Windham Academy Public Charter School","K-8","Charter","Suburban",1,0,410,3.56,0,0,13,0.03,40,0.1,2,0,318,0.78,37,0.09,"410",NA,51,0.02,0.13,NA,NA,NA,NA,232,0.66,232,0.48,NA,0.99,11595,0,NA,NA,NA,NA,NA,0.588235294117647
437,"Spark Academy of Advanced Technologies","9-12","Charter","Urban",1,1,96,NA,0,0,4,0.04,10,0.1,2,0.02,80,0.83,0,0,"96",NA,0,0,NA,22,0.75,22,0.45,NA,NA,NA,NA,NA,0.97,16680,0,NA,NA,NA,NA,NA,0.428571428571429
441,"Northeast Woodland Chartered Public School","K-8","Charter","Rural",1,0,172,NA,0,0,2,0.01,3,0.02,0,0,167,0.97,0,0,"172",0.22,0,0,0.14,NA,NA,NA,NA,89,NA,89,NA,NA,0.97,13471,0,NA,NA,NA,NA,NA,0.666666666666667
407,"Surry Village Charter School","K-8","Charter","Rural",1,0,79,-0.12,0,0,1,0.01,6,0.08,1,0.01,67,0.85,4,0.05,"79",0.29,0,0,0.3,NA,NA,NA,NA,30,NA,30,NA,NA,0.96,12830,0,NA,NA,NA,NA,NA,0.666666666666667
451,"Heartwood Public Charter School","K-8","Charter","Rural",1,0,89,NA,0,0,0,0,0,0,0,0,85,0.96,4,0.04,"89",0.33,NA,NA,0.21,NA,NA,NA,NA,32,NA,32,NA,NA,0.96,12095,0,NA,NA,NA,NA,NA,NA
408,"Ledyard Charter School","9-12","Charter","Rural",1,1,48,0.37,0,0,0,0,3,0.06,1,0.02,43,0.9,1,0.02,"48",0.8,0,0,0.3,12,0.31,12,0.05,NA,NA,NA,NA,NA,0.96,25155,1,NA,NA,NA,NA,NA,NA
409,"Strong Foundations Charter School","K-8","Charter","Rural",1,0,337,0.25,0,0,21,0.06,7,0.02,5,0.01,300,0.89,4,0.01,"337",0.2,12,0.04,0.24,NA,NA,NA,NA,216,0.4,216,0.33,NA,0.98,12164,0,NA,NA,NA,NA,NA,0.966666666666667
453,"Lionheart Classical Academy Chartered Public School","K-8","Charter","Rural",1,0,311,NA,0,0,2,0.01,0,0,0,0,304,0.98,5,0.02,"311",0.14,NA,NA,0.05,NA,NA,NA,NA,166,0.43,166,0.38,NA,0.98,7658,0,NA,NA,NA,NA,NA,NA
410,"CSI Charter School","9-12","Charter","Rural",1,1,34,-0.11,0,0,0,0,0,0,0,0,34,1,0,0,"34",NA,0,0,0.26,5,NA,5,NA,NA,NA,NA,NA,0.67,0.87,7647,0,NA,NA,NA,NA,NA,1
454,"River View Chartered Public School","9-12","Charter","Rural",1,1,30,NA,0,0,0,0,2,0.07,1,0.03,26,0.87,1,0.03,"30",0.61,NA,NA,NA,5,NA,5,NA,NA,NA,NA,NA,NA,0.96,16531,0,NA,NA,NA,NA,NA,NA
411,"Academy for Science and Design Charter School","7-12","Charter","Urban",2,1,672,0.26,0,0,262,0.39,43,0.06,19,0.03,303,0.45,45,0.07,"672",0.05,15,0.03,0.05,38,0.91,38,0.9,402,0.81,402,0.76,0.89,0.98,9017,0,NA,NA,NA,NA,NA,0.644444444444444
455,"Benjamin Franklin Academy Chartered Public School","7-12","Charter","Rural",2,1,76,NA,0,0,0,0,4,0.05,2,0.03,69,0.91,1,0.01,"76",NA,NA,NA,NA,NA,NA,NA,NA,41,NA,41,NA,NA,0.97,16790,0,NA,NA,NA,NA,NA,NA
412,"Virtual Learning Academy Charter School","K-12","Charter","Rural",2,1,510,0.75,1,0,14,0.03,33,0.06,6,0.01,433,0.85,23,0.04,"510",0.12,1,0,0.05,52,0.78,52,0.38,37,NA,37,NA,0.7,1,6751,0,NA,NA,NA,NA,NA,1
416,"Mill Falls Charter School","K-6","Charter","Urban",1,0,168,0,1,0.01,11,0.07,26,0.15,10,0.06,112,0.67,8,0.05,"168",0.19,13,0.08,0.18,NA,NA,NA,NA,102,0.71,102,0.42,NA,0.98,12150,0,NA,NA,NA,NA,NA,NA
417,"The Birches Academy of Academics & Art A Public Charter Sch","K-8","Charter","Suburban",1,0,286,0.29,0,0,19,0.07,22,0.08,4,0.01,231,0.81,10,0.03,"286",0.05,37,0.17,0.12,NA,NA,NA,NA,186,0.6,186,0.46,NA,0.98,10791,0,NA,NA,NA,NA,NA,NA
418,"Making Community Connections Charter School","9-12","Charter","Rural",1,1,80,-0.47,0,0,1,0.01,5,0.06,1,0.01,68,0.85,5,0.06,"80",0.32,0,0,0.25,5,NA,5,NA,NA,NA,NA,NA,0.05,0.93,13362,1,NA,NA,NA,NA,NA,0.666666666666667
419,"Polaris Charter School","K-6","Charter","Urban",1,0,119,0.07,0,0,4,0.03,19,0.16,11,0.09,76,0.64,9,0.08,"119",0.25,0,0,0.16,NA,NA,NA,NA,49,NA,49,NA,NA,0.98,11309,0,NA,NA,NA,NA,NA,0.520833311631945
420,"Robert Frost Charter School","K-12","Charter","Rural",2,1,36,-0.1,0,0,0,0,0,0,1,0.03,35,0.97,0,0,"36",0.61,0,0,NA,NA,NA,NA,NA,25,NA,25,NA,NA,1,17121,0,NA,NA,NA,NA,NA,0.25
422,"Next Charter School","9-12","Charter","Suburban",1,1,79,0.13,0,0,0,0,2,0.03,0,0,77,0.97,0,0,"79",0.26,0,0,0.41,5,NA,5,NA,NA,NA,NA,NA,0.4,0.94,20938,1,NA,NA,NA,NA,NA,NA
423,"The Founders Academy Charter School","7-12","Charter","Urban",2,1,431,0.28,0,0,26,0.06,41,0.1,22,0.05,331,0.77,11,0.03,"431",0.17,4,0.01,0.1,28,0.76,28,0.31,250,0.41,250,0.18,0.73,0.97,10319,0,NA,NA,NA,NA,NA,NA
425,"Gate City Charter School For the Arts","K-8","Charter","Suburban",1,0,160,-0.02,0,0,0,0,16,0.1,5,0.03,131,0.82,8,0.05,"160",0.39,2,0.01,0.2,NA,NA,NA,NA,83,NA,83,NA,NA,0.96,13197,0,NA,NA,NA,NA,NA,NA
