"state","district","combined_district","supt_first_name","supt_last_name","district_code","grades_served","district_type","urbanicity","num_schools","num_high_schools","enrollment_2025","enrollment_change_6yr_pct","n_aian","n_asian","n_black","n_hispanic","n_multiracial","n_white","n_nhpi","pct_aian","pct_aapi","pct_black","pct_hispanic","pct_multiracial","pct_white","pct_lowinc","pct_el","pct_sped","n_ela_prof_3_8","pct_ela_prof_3_8","n_math_prof_3_8","pct_math_prof_3_8","n_ela_prof_9_12","pct_ela_prof_9_12","n_math_prof_9_12","pct_math_prof_9_12","grad_rate","pct_chronic_absenteeism","per_pupil_spending","pct_csi_tsi","pct_lang_eo","pct_lang_spanish","pct_lang_indo","pct_lang_aapi","pct_lang_other","pct_fte_cert","retention_n","retention_rate"
"Connecticut","Norwalk School District","Norwalk School District","Alexandra","Estrella",1030011,"K-12","Traditional","Suburban",25,7,11473,-0.02,35,415,1505,6578,425,2505,10,0,0.04,0.13,0.57,0.04,0.22,0.52,0.23,0.19,2031,0.43,1737,0.37,457,0.54,226,0.27,0.93,0.18,22245,0.05,0.56,0.37,0.06,0.01,0,0.95,794,0.86
"Connecticut","Plymouth School District","Plymouth School District","Brian","Falcone",1110011,"K-12","Traditional","Suburban",5,2,1244,-0.09,10,10,24,220,72,907,0,0.01,0.01,0.02,0.18,0.06,0.73,0.51,0.04,0.26,240,0.42,215,0.38,58,0.71,23,0.28,0.94,0.2,20751,0,0.9,0.09,0,NA,NA,1,101,0.87
"Connecticut","Voluntown School District","Voluntown School District","Scott","Feder",1470011,"K-8","Traditional","Rural",1,0,217,-0.18,0,2,2,12,8,190,2,0,0.02,0.01,0.06,0.04,0.88,0.36,0.05,0.16,65,0.55,63,0.53,NA,NA,NA,NA,NA,0.11,23596,0,1,NA,NA,NA,NA,1,23,0.85
"Connecticut","Watertown School District","Watertown School District","Lisa","Fekete,",1530011,"K-12","Traditional","Suburban",7,3,2528,-0.07,5,31,108,361,98,1920,5,0,0.01,0.04,0.14,0.04,0.76,0.42,0.05,0.18,546,0.46,509,0.43,98,0.59,45,0.27,0.87,0.15,20737,0,0.76,0.11,0.11,NA,0.02,1,192,0.91
"Connecticut","Stamford Charter School for Excellence District","Stamford Charter School for Excellence District","Kevin","Fischer",2960013,"K-8","Charter","Urban",1,0,543,0.37,2,118,219,170,16,15,2,0,0.22,0.4,0.31,0.03,0.03,0.56,0.13,0.06,261,0.77,249,0.74,NA,NA,NA,NA,NA,0.06,11220,0,NA,NA,NA,NA,NA,0.95,15,0.68
"Connecticut","Unified School District #2","Unified School District #2","Matt","Folan",3470015,"7-12","Stage agency","Urban",1,1,80,-0.16,0,0,20,27,6,27,0,0,0,0.25,0.34,0.07,0.34,0,0.04,0.89,9,0.53,9,0.53,6,0.5,6,0.5,NA,0.3,NA,0,NA,NA,NA,NA,NA,NA,29,0.91
"Connecticut","Ashford School District","Ashford School District","Cynthia","Ford",30011,"K-8","Traditional","Rural",1,0,351,-0.1,0,4,7,33,10,294,4,0,0.02,0.02,0.09,0.03,0.84,0.39,0.01,0.17,120,0.53,116,0.51,NA,NA,NA,NA,NA,0.06,26212,0,1,0,NA,NA,NA,1,37,0.92
"Connecticut","Weston School District","Weston School District","Erica","Forti",1570011,"K-12","Traditional","Suburban",4,1,2101,-0.08,15,129,15,199,178,1565,0,0.01,0.06,0.01,0.09,0.08,0.74,0.02,0.01,0.15,788,0.83,772,0.81,151,0.91,120,0.72,0.96,0.04,27531,0,0.86,0.03,0.07,0.04,0.01,1,170,0.9
"Connecticut","Guilford School District","Guilford School District","Paul","Freeman",600011,"K-12","Traditional","Suburban",8,2,3080,-0.05,0,129,18,305,176,2434,18,0,0.05,0.01,0.1,0.06,0.79,0.14,0.02,0.16,1024,0.75,969,0.71,181,0.83,123,0.57,0.96,0.1,22568,0,0.94,0.01,0.02,0.02,0.02,1,252,0.94
"Connecticut","Sterling School District","Sterling School District","Theodore","Friend",1360011,"K-8","Traditional","Rural",1,0,310,-0.15,3,3,3,24,30,248,0,0.01,0.01,0.01,0.08,0.1,0.8,0.44,0.01,0.22,81,0.43,66,0.35,0,NA,0,NA,NA,0.2,20211,0,1,NA,NA,NA,NA,1,24,0.77
