State,District,Combined District,Supt. First Name,Supt. Last Name,Supt. ID,<- IDs will be added late Sept/early Oct
Maine,Otis Public Schools,Otis Public Schools,Nichole,Pothier,,
Maine,RSU 70/MSAD 70,RSU 70/MSAD 70,Tyler,Putnam,,
Maine,Biddeford Public Schools,Biddeford Public Schools,Jeremy,Ray,,
Maine,RSU 22,RSU 22,Nicholas,Raymond,,
Maine,Cape Elizabeth Public Schools,Cape Elizabeth Public Schools,Christopher,Record,,
Maine,RSU 72/MSAD 72,RSU 72/MSAD 72,Marie,Robinson,,
Maine,Bangor Public Schools,Bangor Public Schools,Jay,Robinson,,
Maine,Acton Public Schools,Acton Public Schools,Jonathan,Ross,,
Maine,Bristol Public Schools,Bristol Public Schools,Todd,Sanders,,
Maine,Hermon Public Schools,Hermon Public Schools,Barbara,Sargent,,
Maine,Portland Public Schools,Portland Public Schools,Ryan,Scallon,,
Maine,RSU 68/MSAD 68,RSU 68/MSAD 68,Stacy,Shorey,,
Maine,MSAD 27,MSAD 27,Benjamin,Sirois,,
Maine,RSU 05,RSU 05,Jean,Gray,,
Maine,RSU 61/MSAD 61,RSU 61/MSAD 61,Alan,Smith,,
Maine,Greenbush Public Schools,Greenbush Public Schools,Gwen,Smith,,
Maine,Calais Public Schools,Calais Public Schools,Mary Anne,Spearin,,
Maine,RSU 64/MSAD 64,RSU 64/MSAD 64,Rhonda,Sperrey,,
Maine,Easton Public Schools,Easton Public Schools,Mark,Stanley,,
Maine,Airline CSD,Airline CSD,James,Stoneton,,
Maine,RSU 23,RSU 23,John,Suttie,,
Maine,Moosabec CSD,Moosabec CSD,Joseph,Swain,,
Maine,Cherryfield Public Schools,Cherryfield Public Schools,Melissa,Tenney,,
Maine,Winslow Schools,Winslow Schools,Peter,Thiboutot,,
Maine,West Bath Public Schools,West Bath Public Schools,Emily,Thompson,,
Maine,Chebeague Island Public Schools,Chebeague Island Public Schools,Aaron,Townsend,,
Maine,Augusta Public Schools,Augusta Public Schools,Michael,Tracy,,
Maine,RSU 25,RSU 25,Josh,Tripp,,
Maine,RSU 15/MSAD 15,RSU 15/MSAD 15,Chanda,Turner,,
Maine,RSU 87/MSAD 23,RSU 87/MSAD 23,Mark,Turner,,
Maine,RSU 12,RSU 12,Howard,Tuttle,,
Maine,Veazie Public Schools,Veazie Public Schools,Timothy,Tweedie,,
Maine,Maine Connections Academy,Maine Connections Academy,Walter,Wallace,,
Maine,RSU 84/MSAD 14,RSU 84/MSAD 14,Margaret,Richardson,,
Maine,RSU 45/MSAD 45,RSU 45/MSAD 45,Lawrence,Worcester,,
Maine,Community Regional Charter School,Community Regional Charter School,Travis,Works,,
Maine,Mt Desert CSD,Mt Desert CSD,Michael,Zboray,,
Massachusetts,Chelsea,Chelsea,Almudena,Abeyta,,
Massachusetts,Ashland,Ashland,James,Adams,,
Massachusetts,Barnstable,Barnstable,Sara,Ahern,,
Massachusetts,Norfolk,Norfolk,Ingrid,Allardi,,
